Date,Deposit rate
12/25/2017,0.48
12/26/2017,0.48
12/27/2017,0.48
12/28/2017,0.48
12/29/2017,0.5
1/1/2018,0.5
1/2/2018,0.48
1/3/2018,0.48
1/4/2018,0.48
1/5/2018,0.5
1/8/2018,0.48
1/9/2018,0.49
1/10/2018,0.49
1/11/2018,0.48
1/12/2018,0.48
1/15/2018,0.48
1/16/2018,0.48
1/17/2018,0.49
1/18/2018,0.48
1/19/2018,0.48
1/22/2018,0.48
1/23/2018,0.48
1/24/2018,0.49
1/25/2018,0.48
1/26/2018,0.48
1/29/2018,0.48
1/30/2018,0.49
1/31/2018,0.49
2/1/2018,0.49
2/2/2018,0.48
2/5/2018,0.48
2/6/2018,0.49
2/7/2018,0.48
2/8/2018,0.48
2/9/2018,0.48
2/12/2018,0.48
2/13/2018,0.48
2/14/2018,0.48
2/15/2018,0.48
2/16/2018,0.48
2/19/2018,0.48
2/20/2018,0.49
2/21/2018,0.48
2/22/2018,0.49
2/23/2018,0.48
2/26/2018,0.49
2/27/2018,0.49
2/28/2018,0.49
3/1/2018,0.49
3/2/2018,0.48
3/5/2018,0.48
3/6/2018,0.48
3/7/2018,0.49
3/8/2018,0.49
3/9/2018,0.48
3/12/2018,0.49
3/13/2018,0.49
3/14/2018,0.49
3/15/2018,0.48
3/16/2018,0.49
3/19/2018,0.49
3/20/2018,0.48
3/21/2018,0.49
3/22/2018,0.49
3/23/2018,0.48
3/26/2018,0.48
3/27/2018,0.48
3/28/2018,0.49
3/29/2018,0.49
3/30/2018,0.48
4/2/2018,0.49
4/3/2018,0.49
4/4/2018,0.48
4/5/2018,0.48
4/6/2018,0.48
4/9/2018,0.48
4/10/2018,0.48
4/11/2018,0.49
4/12/2018,0.49
4/13/2018,0.5
4/16/2018,0.49
4/17/2018,0.48
4/18/2018,0.48
4/19/2018,0.49
4/20/2018,0.49
4/23/2018,0.48
4/24/2018,0.5
4/25/2018,0.49
4/26/2018,0.49
4/27/2018,0.5
4/30/2018,0.49
5/1/2018,0.5
5/2/2018,0.49
5/3/2018,0.49
5/4/2018,0.5
5/7/2018,0.5
5/8/2018,0.49
5/9/2018,0.49
5/10/2018,0.49
5/11/2018,0.5
5/14/2018,0.5
5/15/2018,0.49
5/16/2018,0.48
5/17/2018,0.48
5/18/2018,0.5
5/21/2018,0.5
5/22/2018,0.49
5/23/2018,0.48
5/24/2018,0.48
5/25/2018,0.5
5/28/2018,0.5
5/29/2018,0.5
5/30/2018,0.5
5/31/2018,0.49
6/1/2018,0.49
6/4/2018,0.49
6/5/2018,0.48
6/6/2018,0.5
6/7/2018,0.5
6/8/2018,0.5
6/11/2018,0.49
6/12/2018,0.49
6/13/2018,0.49
6/14/2018,0.5
6/15/2018,0.5
6/18/2018,0.49
6/19/2018,0.49
6/20/2018,0.5
6/21/2018,0.5
6/22/2018,0.5
6/25/2018,0.48
6/26/2018,0.48
6/27/2018,0.48
6/28/2018,0.48
6/29/2018,0.5
7/2/2018,0.5
7/3/2018,0.51
7/4/2018,0.51
7/5/2018,0.51
7/6/2018,0.51
7/9/2018,0.51
7/10/2018,0.51
7/11/2018,0.51
7/12/2018,0.51
7/13/2018,0.51
7/16/2018,0.51
7/17/2018,0.51
7/18/2018,0.51
7/19/2018,0.51
7/20/2018,0.51
7/23/2018,0.51
7/24/2018,0.48
7/25/2018,0.52
7/26/2018,0.52
7/27/2018,0.52
7/30/2018,0.64
7/31/2018,0.68
8/1/2018,0.68
8/2/2018,0.75
8/3/2018,0.75
8/6/2018,0.75
8/7/2018,0.75
8/8/2018,0.75
8/9/2018,0.75
8/10/2018,0.75
8/13/2018,0.75
8/14/2018,0.71
8/15/2018,0.75
8/16/2018,0.71
8/17/2018,0.71
8/20/2018,0.71
8/21/2018,0.71
8/22/2018,0.71
8/23/2018,0.71
8/24/2018,0.71
8/27/2018,0.75
8/28/2018,0.72
8/29/2018,0.72
8/30/2018,0.71
8/31/2018,0.71
9/3/2018,0.71
9/4/2018,0.71
9/5/2018,0.71
9/6/2018,0.71
9/7/2018,0.71
9/10/2018,0.71
9/11/2018,0.71
9/12/2018,0.71
9/13/2018,0.71
9/14/2018,0.75
9/17/2018,0.72
9/18/2018,0.72
9/19/2018,0.71
9/20/2018,0.75
9/21/2018,0.71
9/24/2018,0.71
9/25/2018,0.74
9/26/2018,0.74
9/27/2018,0.75
9/28/2018,0.71
10/1/2018,0.71
10/2/2018,0.71
10/3/2018,0.71
10/4/2018,0.71
10/5/2018,0.71
10/8/2018,0.76
10/9/2018,0.71
10/10/2018,0.76
10/11/2018,0.71
10/12/2018,0.71
10/15/2018,0.76
10/16/2018,0.71
10/17/2018,0.71
10/18/2018,0.71
10/19/2018,0.71
10/22/2018,0.76
10/23/2018,0.71
10/24/2018,0.71
10/25/2018,0.71
10/26/2018,0.71
10/29/2018,0.76
10/30/2018,0.71
10/31/2018,0.71
11/1/2018,0.72
11/2/2018,0.76
11/5/2018,0.71
11/6/2018,0.71
11/7/2018,0.71
11/8/2018,0.72
11/9/2018,0.76
11/12/2018,0.76
11/13/2018,0.71
11/14/2018,0.76
11/15/2018,0.71
11/16/2018,0.76
11/19/2018,0.71
11/20/2018,0.71
11/21/2018,0.71
11/22/2018,0.71
11/23/2018,0.71
11/26/2018,0.71
11/27/2018,0.71
11/28/2018,0.71
11/29/2018,0.71
11/30/2018,0.76
12/3/2018,0.76
12/4/2018,0.71
12/5/2018,0.71
12/6/2018,0.71
12/7/2018,0.71
12/10/2018,0.71
12/11/2018,0.7
12/12/2018,0.7
12/13/2018,0.7
12/14/2018,0.76
12/17/2018,0.76
12/18/2018,0.75
12/19/2018,0.75
12/20/2018,0.75
12/21/2018,0.75
12/24/2018,0.75
12/25/2018,0.75
12/26/2018,0.75
12/27/2018,0.71
12/28/2018,0.75
12/31/2018,0.75
1/1/2019,0.75
1/2/2019,0.71
1/3/2019,0.75
1/4/2019,0.75
1/7/2019,0.71
1/8/2019,0.7
1/9/2019,0.75
1/10/2019,0.75
1/11/2019,0.75
1/14/2019,0.75
1/15/2019,0.75
1/16/2019,0.75
1/17/2019,0.75
1/18/2019,0.75
1/21/2019,0.75
1/22/2019,0.75
1/23/2019,0.75
1/24/2019,0.75
1/25/2019,0.75
1/28/2019,0.75
1/29/2019,0.75
1/30/2019,0.75
1/31/2019,0.75
2/1/2019,0.75
2/4/2019,0.75
2/5/2019,0.75
2/6/2019,0.75
2/7/2019,0.75
2/8/2019,0.75
2/11/2019,0.75
2/12/2019,0.75
2/13/2019,0.75
2/14/2019,0.75
2/15/2019,0.75
2/18/2019,0.75
2/19/2019,0.75
2/20/2019,0.75
2/21/2019,0.75
2/22/2019,0.75
2/25/2019,0.75
2/26/2019,0.75
2/27/2019,0.75
2/28/2019,0.75
3/1/2019,0.75
3/4/2019,0.75
3/5/2019,0.75
3/6/2019,0.75
3/7/2019,0.75
3/8/2019,0.75
3/11/2019,0.75
3/12/2019,0.75
3/13/2019,0.75
3/14/2019,0.75
3/15/2019,0.75
3/18/2019,0.75
3/19/2019,0.75
3/20/2019,0.77
3/21/2019,0.77
3/22/2019,0.77
3/25/2019,0.77
3/26/2019,0.77
3/27/2019,0.77
3/28/2019,0.77
